Designator,Mid X,Mid Y,Rotation,Layer
C1,137.2,-92.5,180.0,bottom
C10,146.4,-92.75,90.0,bottom
C11,144.55,-92.55,90.0,bottom
C12,142.3,-92.55,90.0,bottom
C13,140.1,-92.55,90.0,bottom
C14,140.1,-96.05,270.0,bottom
C15,144.55,-96.05,270.0,bottom
C16,142.3,-96.05,270.0,bottom
C3,158.1,-97.4,0.0,bottom
C4,159.2,-90.7,270.0,bottom
C5,129.9,-92.5,0.0,bottom
C6,156.6,-95.4,0.0,bottom
C7,147.15,-98.3,180.0,bottom
C8,146.4,-95.85,270.0,bottom
C9,149.78,-91.33,180.0,bottom
D1,154.2,-87.8,0.0,top
D2,154.2,-85.1,0.0,top
D3,150.9,-85.1,0.0,top
D4,150.9,-87.8,0.0,top
J1,133.4,-96.2,0.0,top
L1,155.6,-92.1,180.0,bottom
R1,161.0,-98.3,180.0,bottom
R2,163.119206,-98.3,180.0,bottom
R3,153.85,-95.45,0.0,bottom
R4,145.22,-98.3,180.0,bottom
R5,154.6,-97.4,0.0,bottom
R6,151.26,-98.3,0.0,bottom
R7,149.31,-98.3,0.0,bottom
U1,162.395,-93.93,180.0,bottom
U2,133.53,-92.45,0.0,bottom
U3,150.065021,-94.5423,0.0,bottom
